Eidos Interactive,7.55,7.475
Steel Monkeys,7.55,5.5
Studio 33,7.55,6.3
Insomniac Games,7.544444444444445,7.966666666666667
Obsidian Entertainment,7.543749999999999,7.84375
Midway Studios - Austin,7.540000000000001,6.76
Luxoflux/ Inc.,7.5375,7.2625
Adrenium,7.533333333333334,5.8
Dimps Corporation,7.531818181818181,6.631818181818181
Totally Games,7.525,6.425
Nixxes Software,7.524999999999999,7.8375
Eurocom Entertainment Software,7.522499999999999,6.51
Square Enix,7.522499999999999,7.505
5TH Cell,7.522222222222222,7.444444444444445
KCE Studios,7.5200000000000005,5.720000000000001
EA Chicago,7.514285714285713,7.814285714285714
Neversoft Entertainment,7.506976744186045,8.123255813953488
Splash Damage/ The Coalition,7.5,8.2
Sanzaru Games,7.5,6.528571428571429
Anchor,7.5,6.966666666666667
Climax Group/ Climax Studios,7.5,7.642857142857143
Skip Ltd.,7.5,7.8
Foundation 9 Entertainment,7.5,4.7
SCEE/ Zoe Mode,7.5,8
Backbone Emeryville,7.5,7.5
Velez & Dubail,7.5,5.5
EA DICE/ Danger Close,7.5,7.5
Gulti,7.5,7.3
Eagle Dynamics,7.5,7.6
Studio Archcraft,7.5,5.8
Babylon Software,7.5,4.5
Artificial Mind and Movement/ Polygon Magic,7.5,6.9
Sunflowers Interactive,7.5,7.8
IronNos Co./Ltd.,7.5,7.8
Ubisoft Sofia,7.5,7.2
D3Publisher,7.5,5.1
Warner Bros. Interactive Entertainment/ NetherRealm Studios,7.5,8.45
Vicarious Visions/ Neversoft Entertainment,7.5,7.7
Bullets,7.5,7.35
Buddiez/ Inc.,7.5,7.4
GlyphX Games,7.5,6.8
Big Blue Bubble Inc./ Breakthrough New Media,7.5,6.2
Coldwood Interactive,7.5,4.8
EA Tiburon/ n-Space,7.5,5.8
Volition Inc./ Reactor Zero,7.5,8.2
Digital Illusions,7.492307692307692,7.246153846153847
Krome Studios,7.488461538461538,6.0807692307692305
Midway,7.484090909090909,6.86590909090909
Microsoft Game Studios,7.4818181818181815,7.49090909090909
Creative Assembly,7.480000000000001,7.425
Bohemia Interactive,7.4750000000000005,7.125
Mass Media,7.4692307692307685,6.138461538461539
Nadeo,7.466666666666668,7.866666666666667
Big Ant Studios,7.466666666666666,6.866666666666667
Creatures Inc.,7.466666666666666,6.333333333333334
Black Box,7.4625,7.625
Arc System Works,7.4593750000000005,7.6375
Volition Inc.,7.4571428571428555,7.823809523809524
Digital Extremes,7.455555555555555,7.655555555555556
